TripType,VisitNumber,Weekday,Upc,ScanCount,DepartmentDescription,FinelineNumber
37,83274,4,3338365101,1,PRODUCE,7502
36,82115,4,1111111093,1,PERSONAL CARE,3166
38,119809,3,3000016910,3,DSD GROCERY,4669
38,46773,5,7874223030,1,GROCERY DRY GOODS,2755
38,34237,3,1600045213,1,GROCERY DRY GOODS,3031
36,103890,7,4770100184,2,PERSONAL CARE,607
38,50727,6,4900004579,1,DSD GROCERY,4611
37,121253,3,7874208343,1,GROCERY DRY GOODS,3951
38,130208,4,4150000031,1,GROCERY DRY GOODS,2302
37,146422,7,4178900211,1,GROCERY DRY GOODS,3105
36,88648,5,20154200000,1,SERVICE DELI,8001
37,26091,2,5000057841,1,PETS AND SUPPLIES,1436
37,44017,5,3127,1,PRODUCE,5851
5,18903,7,63165670204,1,PHARMACY OTC,530
37,67686,1,2840000985,1,DSD GROCERY,7300
37,161742,3,4889,1,PRODUCE,7907
37,68037,1,5210002747,1,GROCERY DRY GOODS,4252
37,11930,6,7047018083,1,DAIRY,1359
38,31204,2,7874212204,1,DSD GROCERY,3560
36,124391,3,4048,1,PRODUCE,901
37,4247,5,1200001311,1,DSD GROCERY,9205
36,62775,7,2570070991,1,HOUSEHOLD CHEMICALS/SUPP,5510
37,83527,4,3082,1,PRODUCE,8400
36,171158,4,7410855555,1,PERSONAL CARE,5102
36,86640,4,7989616476,1,PERSONAL CARE,6124
37,170857,4,4062,1,PRODUCE,8104
37,39531,4,89470001032,2,DAIRY,1450
36,4958,5,7940031147,1,PERSONAL CARE,30
5,18903,7,7146430152,1,PRODUCE,7131
5,85546,4,2260090125,1,PHARMACY OTC,4601
37,35259,3,4218,1,PRODUCE,2900
37,24654,1,7639703200,2,GROCERY DRY GOODS,2995
37,17252,7,2733100032,2,COMM BREAD,3706
5,34903,3,7874205776,1,PRODUCE,33
37,56695,7,3338360002,1,PRODUCE,4005
38,38920,4,60538871461,1,DAIRY,9101
38,72959,2,1115207180,1,GROCERY DRY GOODS,2261
36,26290,2,1910012779,2,BEAUTY,4010
37,177495,5,4017,1,PRODUCE,1203
38,154168,1,68113103934,1,PERSONAL CARE,1412
38,63852,1,4175700180,1,SERVICE DELI,3002
38,111098,1,7225003706,1,COMM BREAD,3702
38,104222,7,4300002828,1,DSD GROCERY,4624
37,66717,1,4688,1,PRODUCE,8103
36,56270,7,4160808701,1,PHARMACY OTC,4500
38,155487,1,2550000376,1,GROCERY DRY GOODS,3303
36,162441,3,7962507258,1,PERSONAL CARE,4943
38,42730,4,2800087457,1,DSD GROCERY,4621
36,81874,4,1254744015,1,PERSONAL CARE,602
38,120220,3,1800000235,2,DAIRY,1302
37,106515,7,8768400511,1,DSD GROCERY,4624
5,49414,6,7667710033,1,IMPULSE MERCHANDISE,804
5,39469,4,31101741023,1,PHARMACY OTC,3705
37,54301,6,2700039104,1,GROCERY DRY GOODS,2404
3,17208,7,68113163352,1,FINANCIAL SERVICES,278
37,108907,1,4400003592,1,DSD GROCERY,3621
37,15058,7,7874209728,1,COMM BREAD,3717
37,141089,6,4280043793,1,FROZEN FOODS,1953
38,44608,5,1600048304,1,GROCERY DRY GOODS,3506
38,86549,4,3400021210,1,IMPULSE MERCHANDISE,125
5,186004,7,7874243564,1,PHARMACY OTC,1001
38,9492,6,7418226090,1,PERSONAL CARE,3185
36,172320,5,4000000432,1,IMPULSE MERCHANDISE,115
38,123282,3,7278510989,1,PHARMACY OTC,3535
37,4841,5,22680600000,1,MEAT - FRESH & FROZEN,6568
5,2434,5,2471930952,1,HORTICULTURE AND ACCESS,8625
37,42824,4,7561026410,1,PERSONAL CARE,6124
37,93466,6,7874209945,1,DAIRY,7955
36,161097,3,3700090625,1,PERSONAL CARE,5260
36,50264,6,3700024404,1,PERSONAL CARE,203
5,74172,2,1700005400,1,PERSONAL CARE,3183
5,26442,2,4612,1,PRODUCE,4402
37,56695,7,2733102060,1,COMM BREAD,3731
37,21540,1,70165110612,1,PAINT AND ACCESSORIES,3524
37,139936,6,7874237171,1,GROCERY DRY GOODS,3556
37,147963,7,4664,1,PRODUCE,7810
5,122304,3,7092047233,1,GROCERY DRY GOODS,3401
36,170392,4,3400000334,2,IMPULSE MERCHANDISE,100
5,33248,3,68113177923,1,PHARMACY OTC,4007
37,165042,3,3283,1,PRODUCE,1262
5,154334,1,30869664146,1,PERSONAL CARE,802
38,179982,6,3800032745,1,GROCERY DRY GOODS,3504
5,72447,2,31254749318,1,PERSONAL CARE,9109
38,160113,2,4011,1,PRODUCE,5501
38,178065,6,7341001375,1,COMM BREAD,3703
36,19381,7,4155444013,1,BEAUTY,1285
38,61373,7,4400003442,1,DSD GROCERY,3717
37,150729,1,4078,1,PRODUCE,8303
38,79352,3,7432309090,1,COMM BREAD,3701
37,78364,3,4087,1,PRODUCE,7803
36,34182,3,68113110523,1,PERSONAL CARE,3064
38,59211,7,7874237009,1,GROCERY DRY GOODS,4351
38,166337,3,84868303858,1,LADIESWEAR,219
37,110243,1,4900005014,1,DSD GROCERY,9570
36,43241,5,1111147187,1,PERSONAL CARE,3170
5,171073,4,7007460750,1,PHARMACY OTC,401
37,35050,3,60538816259,1,SHOES,8962
37,66299,1,88811318800,1,LADIESWEAR,4301
36,135765,5,4322252002,1,PRODUCE,4383
5,72272,2,7339001393,1,IMPULSE MERCHANDISE,135
37,45658,5,7056090093,1,FROZEN FOODS,1752
37,1970,5,7756725421,1,FROZEN FOODS,1853
38,125387,4,1980070463,1,HOUSEHOLD CHEMICALS/SUPP,4510
3,45943,5,68113163353,1,FINANCIAL SERVICES,277
36,82831,4,7050101710,1,BEAUTY,4650
38,46832,5,9955500805,1,GROCERY DRY GOODS,3309
37,85888,4,4011,1,PRODUCE,5501
5,179371,6,31011900252,1,PHARMACY OTC,1502
5,89715,5,31254717021,1,PHARMACY OTC,1352
38,104651,7,1530043023,1,GROCERY DRY GOODS,3804
38,77949,3,7874235889,1,GROCERY DRY GOODS,3555
37,149681,7,63204512400,1,PRODUCE,3450
36,142775,6,31254742268,1,PERSONAL CARE,801
37,91592,5,7874298256,1,BAKERY,5034
37,138081,6,7685572069,2,PHARMACY OTC,1760
36,142499,6,2279691693,1,PERSONAL CARE,5039
36,33129,3,68113107991,1,INFANT CONSUMABLE HARDLINES,1004
38,145560,7,88614488106,1,TOYS,2215
5,89440,5,5113120035,1,PHARMACY OTC,3524
37,168394,4,4011,1,PRODUCE,5501
36,114726,2,68113107862,2,BAKERY,5017
38,170338,4,7432309090,1,COMM BREAD,3701
36,163049,3,4402171673,1,HOME DECOR,219
37,72597,2,7874298567,-1,BAKERY,3024
37,20634,1,3592604526,1,FABRICS AND CRAFTS,734
38,27453,2,3800039122,2,GROCERY DRY GOODS,3600
5,154334,1,3076833049,1,PHARMACY OTC,911
5,77582,3,60538862097,1,FINANCIAL SERVICES,0
37,136575,5,2100004695,1,GROCERY DRY GOODS,1104
38,189683,7,3338320027,1,PRODUCE,3601
37,169125,4,4300095065,1,DSD GROCERY,4634
36,45078,5,82180812322,2,TOYS,4520
36,175066,5,3700026485,1,PERSONAL CARE,192
36,48505,5,65006600012,1,PHARMACY OTC,4081
36,46531,5,4145712670,1,PERSONAL CARE,5112
36,18944,7,3663202748,2,DAIRY,1443
38,110107,1,80469188185,1,INFANT APPAREL,6478
36,106885,1,3500050302,1,PERSONAL CARE,9108
36,152348,1,68113110336,1,WIRELESS,669
38,16827,7,1600040597,1,GROCERY DRY GOODS,3506
36,171662,4,68113177638,1,PHARMACY OTC,2124
38,24514,1,1500007364,1,INFANT CONSUMABLE HARDLINES,3192
5,171275,4,30081079888,1,PHARMACY OTC,3514
36,127038,4,1254744015,1,PERSONAL CARE,602
38,151200,1,3338360152,1,PRODUCE,4030
37,155785,1,7874214417,1,DAIRY,1358
38,101628,7,1727622698,1,PHARMACY OTC,3515
36,96807,6,7124921074,1,PERSONAL CARE,5310
38,158768,2,60538871457,1,DAIRY,9100
5,133404,5,73390565166,1,OPTICAL - FRAMES,2741
36,31658,3,8087817974,1,PERSONAL CARE,5050
37,89642,5,4416,1,PRODUCE,1902
37,104546,7,9064965734,1,SLEEPWEAR/FOUNDATIONS,6070
36,84595,4,4141942005,1,IMPULSE MERCHANDISE,808
5,179176,6,38137003001,1,PERSONAL CARE,9103
37,27118,2,4048,1,PRODUCE,901
38,19178,7,4178900121,4,GROCERY DRY GOODS,3120
37,159936,2,4100001200,1,GROCERY DRY GOODS,2453
37,145325,7,3700084659,1,HOUSEHOLD CHEMICALS/SUPP,130
37,123172,3,4066,1,PRODUCE,8207
38,59775,7,7535311902,1,OFFICE SUPPLIES,3522
5,120456,3,4011,1,PRODUCE,5501
36,106830,1,88599870148,1,JEWELRY AND SUNGLASSES,6409
37,47877,5,7874235318,1,DAIRY,7955
36,10919,6,30521051863,1,BEAUTY,4010
36,145071,7,65108018751,1,PERSONAL CARE,605
36,164783,3,3700088437,1,PERSONAL CARE,202
36,116180,2,7128786297,1,PERSONAL CARE,3062
37,129929,4,75703751313,1,HOUSEHOLD CHEMICALS/SUPP,1565
37,14851,7,2781500111,1,PRE PACKED DELI,7252
38,77578,3,60538871457,1,DAIRY,9100
37,190714,7,4480000142,1,GROCERY DRY GOODS,4451
38,116075,2,7874202291,1,DSD GROCERY,9249
5,161348,3,3076818199,1,PHARMACY OTC,911
38,62121,7,4470007014,1,PRE PACKED DELI,7554
38,51677,6,7323000002,1,GROCERY DRY GOODS,2920
37,117058,2,60265218411,1,PHARMACY OTC,543
37,4841,5,22763000000,1,MEAT - FRESH & FROZEN,1039
37,146582,7,2150000450,1,GROCERY DRY GOODS,4260
36,87826,5,7214001781,2,BEAUTY,4010
37,189221,7,68113132946,1,PRODUCE,6810
38,41131,4,7357527725,1,GROCERY DRY GOODS,2263
36,21227,1,3700047451,6,PERSONAL CARE,205
36,42753,4,7214001293,1,BEAUTY,4010
38,169076,4,7874235188,1,DAIRY,1508
37,15330,7,20154200000,2,SERVICE DELI,8001
37,33602,3,4470000910,1,PRE PACKED DELI,7557
5,154573,1,68113106273,1,PHARMACY OTC,2042
37,126714,4,7349700469,1,DSD GROCERY,3667
37,30124,2,1600046146,1,GROCERY DRY GOODS,3031
5,158294,2,68142103105,1,PHARMACY OTC,2151
5,148443,7,7466003347,1,AUTOMOTIVE,4035
38,52090,6,2016922233,1,DAIRY,9145
3,180483,6,68113176760,1,FINANCIAL SERVICES,282
36,29343,2,4011,1,PRODUCE,5501
36,108230,1,7940019892,1,PERSONAL CARE,5065
36,162554,3,1070002440,2,"CANDY, TOBACCO, COOKIES",521
3,64479,1,60538802945,1,IMPULSE MERCHANDISE,1001
37,141947,6,7874208655,1,FROZEN FOODS,1853
3,187374,7,7874235187,1,DAIRY,1508
37,60992,7,3338311010,1,PRODUCE,108
36,147990,7,3700080822,1,PERSONAL CARE,5414
38,165158,3,2580001937,1,FROZEN FOODS,1904
38,158768,2,7187154860,1,PRE PACKED DELI,7199
37,62955,7,7287850523,1,GROCERY DRY GOODS,2995
38,126455,4,4022,1,PRODUCE,2005
38,165284,3,68113105076,1,PERSONAL CARE,9107
37,7077,6,2529360039,1,DAIRY,1511
3,131570,5,83032400526,1,IMPULSE MERCHANDISE,1749
37,163732,3,8500001163,-1,"LIQUOR,WINE,BEER",2501
37,172857,5,4011,1,PRODUCE,5501
37,63057,7,4300079470,1,GROCERY DRY GOODS,3304
38,25548,1,3700047092,-1,HOUSEHOLD CHEMICALS/SUPP,8910
37,173346,5,8740402120,1,LAWN AND GARDEN,2507
38,140877,6,5150072001,1,GROCERY DRY GOODS,2651
36,122269,3,85838000214,2,PERSONAL CARE,6121
37,45189,5,6414404302,1,GROCERY DRY GOODS,3005
37,155141,1,3500046413,1,HOUSEHOLD CHEMICALS/SUPP,110
5,88181,5,7874209359,1,PHARMACY OTC,713
38,20730,1,9518802128,1,DSD GROCERY,4644
36,54765,6,7940033992,1,PERSONAL CARE,5280
37,160981,2,3450015129,1,DAIRY,1202
37,5592,5,2066200028,1,GROCERY DRY GOODS,2400
37,162600,3,89470001001,1,DAIRY,1450
37,117275,2,3338320027,1,PRODUCE,3601
36,37214,3,80829577805,-1,"GIRLS WEAR, 4-6X  AND 7-14",385
5,165462,3,3400043210,1,"CANDY, TOBACCO, COOKIES",82
37,92935,5,88491200245,1,GROCERY DRY GOODS,3600
38,73492,2,2000045746,1,GROCERY DRY GOODS,2804
36,105451,7,3500074003,1,PERSONAL CARE,203
37,164762,3,7874237381,1,FROZEN FOODS,1754
37,38815,4,7224013387,1,PRODUCE,3105
37,35005,3,68113107862,4,BAKERY,5017
37,99223,6,2529300149,1,DAIRY,1511
38,151461,1,3800059661,1,GROCERY DRY GOODS,3555
37,134722,5,7294560134,1,COMM BREAD,3710
37,79882,3,4159800072,1,HOUSEHOLD CHEMICALS/SUPP,7520
37,139936,6,7539100878,1,SEAFOOD,1026
38,20622,1,5100014331,1,DSD GROCERY,4649
5,25157,1,7431255367,1,PHARMACY OTC,502
37,81630,4,7282017090,1,DAIRY,7978
36,183290,6,30067203924,1,PHARMACY OTC,2017
38,144940,7,7874235188,1,DAIRY,1508
37,22016,1,22093300000,1,MEAT - FRESH & FROZEN,1301
36,22871,1,4319417843,1,PERSONAL CARE,5103
37,168352,4,7891317028,2,GROCERY DRY GOODS,4054
37,6131,5,38151905338,1,PERSONAL CARE,5026
38,175922,5,2100061161,1,GROCERY DRY GOODS,4602
37,185597,7,4080,1,PRODUCE,7904
5,138434,6,5113120368,1,PHARMACY OTC,3037
37,136582,5,3100018042,1,FROZEN FOODS,9704
5,65072,1,3700035907,1,PHARMACY OTC,2156
37,56695,7,22763000000,1,MEAT - FRESH & FROZEN,1039
36,94823,6,2840008997,2,IMPULSE MERCHANDISE,807
36,41775,4,9147504189,1,DAIRY,1405
5,152197,1,7432309750,2,GROCERY DRY GOODS,3682
3,185625,7,60538896309,1,FINANCIAL SERVICES,276
37,12882,6,87694100559,1,GROCERY DRY GOODS,2809
36,54765,6,1111139650,1,PERSONAL CARE,3163
5,10113,6,30997530910,1,BEAUTY,2270
37,86507,4,3700086522,1,HOUSEHOLD PAPER GOODS,3070
36,137556,6,3120020007,1,DSD GROCERY,4639
37,165244,3,3338340010,1,PRODUCE,6201
36,38871,4,7874204883,1,PERSONAL CARE,6106
37,101825,7,3400047150,1,"CANDY, TOBACCO, COOKIES",89
38,82194,4,7874235186,5,DAIRY,1508
36,137653,6,32586653648,1,PHARMACY OTC,2015
36,95087,6,7940040359,1,PERSONAL CARE,1
37,158597,2,7874201238,1,GROCERY DRY GOODS,2601
38,162855,3,4000015140,1,"CANDY, TOBACCO, COOKIES",82
37,86170,4,7874204881,1,HOUSEHOLD PAPER GOODS,5060
3,26450,2,79936663195,1,IMPULSE MERCHANDISE,1749
36,108344,1,69367311207,1,PERSONAL CARE,6124
36,97472,6,2827203315,1,PERSONAL CARE,6129
5,174380,5,79347812592,1,HOME DECOR,1634
37,61505,7,4900004086,1,DSD GROCERY,9546
36,82115,4,6233880095,4,HOUSEHOLD CHEMICALS/SUPP,8945
3,79513,3,60538819035,1,FINANCIAL SERVICES,1000
37,12525,6,4029,1,PRODUCE,6201
38,67658,1,4812113806,1,COMM BREAD,3720
38,55145,6,7874207561,1,HOUSEHOLD CHEMICALS/SUPP,9055
37,136069,5,4046,1,PRODUCE,5620
3,117948,2,60538812237,1,FINANCIAL SERVICES,277
37,116413,2,4418,1,PRODUCE,1901
37,96868,6,3120021007,1,DSD GROCERY,4639
36,34427,3,4740012622,1,PERSONAL CARE,1403
38,15692,7,4178900125,2,GROCERY DRY GOODS,3120
38,123216,3,60538871461,2,DAIRY,9101
37,149340,7,4133500176,1,GROCERY DRY GOODS,2453
37,121484,3,81436501062,1,PRODUCE,1252
37,187663,7,7874235201,1,DAIRY,1515
37,132123,5,7047029422,2,DAIRY,1344
3,106940,1,68113163351,1,FINANCIAL SERVICES,275
37,52213,6,5210002736,1,GROCERY DRY GOODS,4252
36,99928,7,7874209757,1,HOUSEHOLD PAPER GOODS,203
3,131953,5,68113163351,1,FINANCIAL SERVICES,275
38,2070,5,4850002239,1,DAIRY,1500
37,136654,5,3700015815,1,HOUSEHOLD CHEMICALS/SUPP,700
36,84222,4,7502003874,1,PERSONAL CARE,432
37,71203,2,4011,1,PRODUCE,5501
37,147642,7,4056,1,PRODUCE,2008
38,77858,3,3800039138,1,GROCERY DRY GOODS,3600
38,133549,5,5100013279,1,GROCERY DRY GOODS,3106
36,42083,4,3500074023,1,PERSONAL CARE,203
5,116189,2,68113105076,1,PERSONAL CARE,9107
5,189802,7,31011903580,1,PHARMACY OTC,1531
36,33794,3,3800059923,1,GROCERY DRY GOODS,3555
37,141041,6,2370047259,1,MEAT - FRESH & FROZEN,1250
3,156550,2,68113163351,1,FINANCIAL SERVICES,275
36,186242,7,30521026625,1,BEAUTY,4541
37,141041,6,61300872415,1,GROCERY DRY GOODS,3350
37,151781,1,1200013061,1,DSD GROCERY,9523
36,50993,6,60538862097,1,FINANCIAL SERVICES,0
37,141561,6,60538862097,1,FINANCIAL SERVICES,0
37,21846,1,7874237138,1,GROCERY DRY GOODS,3819
5,133786,5,68113138749,1,PRODUCE,6802
37,98338,6,7774529187,1,PRODUCE,7045
37,14560,7,7790019631,2,PRE PACKED DELI,7803
36,190709,7,4.90E+11,1,OFFICE SUPPLIES,6230
37,129929,4,22008900000,1,MEAT - FRESH & FROZEN,6025
38,190877,7,4011,1,PRODUCE,5501
5,22017,1,1420053545,1,"CANDY, TOBACCO, COOKIES",707
37,35268,3,7156795658,1,"CANDY, TOBACCO, COOKIES",97
38,104222,7,3345611314,1,DAIRY,1311
3,92150,5,60538896309,1,FINANCIAL SERVICES,276
36,42611,4,1111140471,1,PERSONAL CARE,3181
3,77471,3,68113163353,1,FINANCIAL SERVICES,277
38,70867,2,4900004523,1,DSD GROCERY,4611
37,9728,6,68113132897,1,PRODUCE,7025
5,70704,2,4167967566,1,PHARMACY OTC,405
37,52051,6,4073,1,PRODUCE,4171
38,154168,1,61300871781,1,DSD GROCERY,3053
37,128403,4,4046,1,PRODUCE,5620
36,158909,2,7502004848,1,PERSONAL CARE,7019
37,80578,3,70737504329,1,PRODUCE,6701
36,92698,5,38137102065,1,PERSONAL CARE,3070
5,99249,6,38137004666,1,PHARMACY OTC,3516
37,106218,7,2840033575,1,DSD GROCERY,8251
37,102499,7,4065,1,PRODUCE,8101
37,108556,1,1901401329,2,PETS AND SUPPLIES,600
38,80950,3,7835462011,1,DAIRY,1201
37,178812,6,22616700000,1,MEAT - FRESH & FROZEN,3742
38,156655,2,2622977070,2,OFFICE SUPPLIES,6123
37,95038,6,3663201847,1,DAIRY,1433
38,180595,6,7432300229,2,COMM BREAD,3724
5,124466,3,3700090708,2,PERSONAL CARE,803
37,101037,7,7464101032,2,PRODUCE,5996
5,110719,1,72783385289,1,JEWELRY AND SUNGLASSES,8805
37,143521,6,2840020131,1,DSD GROCERY,9251
3,4012,5,68113163351,2,FINANCIAL SERVICES,275
36,12547,6,2610000575,1,"CANDY, TOBACCO, COOKIES",8012
37,176361,5,2500004766,1,DAIRY,1407
37,126780,4,4200035501,1,HOUSEHOLD PAPER GOODS,4050
38,55588,6,7874235189,1,DAIRY,1508
36,150915,1,30521500700,1,PERSONAL CARE,3010
37,78231,3,65876134734,1,MEAT - FRESH & FROZEN,6073
38,29800,2,5000035022,1,DAIRY,1525
37,63934,1,4693,1,PRODUCE,4450
5,178848,6,38137116125,1,PHARMACY OTC,3523
38,16557,7,68113107862,1,BAKERY,5017
37,158590,2,4087,1,PRODUCE,7803
37,129054,4,2100062566,1,DAIRY,7958
38,98738,6,7874210042,1,BAKERY,9003
37,155141,1,7566910726,1,GROCERY DRY GOODS,3000
38,65490,1,2900000822,5,DAIRY,1251
38,127785,4,4767748248,1,FROZEN FOODS,1851
38,83905,4,7464100425,1,PRODUCE,6470
38,77862,3,2430004331,1,COMM BREAD,3709
38,16531,7,7442602001,1,COMM BREAD,3729
38,185194,7,7343500006,1,COMM BREAD,3791
38,90580,5,7874235187,1,DAIRY,1508
36,65987,1,2800051886,1,GROCERY DRY GOODS,2707
36,118600,2,84004019543,1,PERSONAL CARE,401
36,52307,6,7124928782,1,BEAUTY,6820
37,13791,7,7874200225,2,GROCERY DRY GOODS,2839
38,108930,1,7874214223,1,FROZEN FOODS,1851
36,154918,1,4650071693,1,HOUSEHOLD CHEMICALS/SUPP,1555
37,114916,2,5000057796,1,PETS AND SUPPLIES,1946
3,37580,4,60538812236,1,FINANCIAL SERVICES,278
36,10213,6,7989617481,1,BEAUTY,4010
5,79809,3,30573245014,1,PHARMACY OTC,2161
5,171084,4,30005486070,1,PHARMACY OTC,601
37,100178,7,4078,1,PRODUCE,8303
5,87024,5,3400000848,1,IMPULSE MERCHANDISE,135
38,21855,1,1200001311,3,DSD GROCERY,9205
37,107155,1,4450034171,1,PRE PACKED DELI,7252
38,17556,7,7203001353,1,COMM BREAD,3723
36,614,5,68113100245,1,HOUSEHOLD CHEMICALS/SUPP,140
37,108556,1,7940092290,1,PERSONAL CARE,5030
38,169058,4,4650073340,1,HOUSEHOLD CHEMICALS/SUPP,8910
38,189988,7,5100013062,1,DSD GROCERY,4649
36,150653,1,80253545353,1,PERSONAL CARE,6113
38,177764,5,3040077852,1,HOUSEHOLD PAPER GOODS,3006
37,90846,5,2840019914,1,DSD GROCERY,9251
37,164554,3,25108500000,1,MEAT - FRESH & FROZEN,6082
37,15424,7,4312,1,PRODUCE,5703
38,13368,7,5210001148,3,GROCERY DRY GOODS,4267
38,2843,5,4000032968,1,"CANDY, TOBACCO, COOKIES",35
37,21881,1,22095000000,1,MEAT - FRESH & FROZEN,6519
5,17962,7,3700016629,-1,HOUSEHOLD CHEMICALS/SUPP,8910
37,158829,2,4400000064,1,DSD GROCERY,3715
37,128116,4,4011,1,PRODUCE,5501
36,108771,1,2840019954,1,DSD GROCERY,9251
36,177329,5,68113197215,1,PHARMACY OTC,256
38,161260,3,60538800144,1,DAIRY,9105
5,163047,3,40005000925,1,OPTICAL - LENSES,3810
38,63471,1,1254668017,1,"CANDY, TOBACCO, COOKIES",221
37,55886,6,72326163289,1,SHOES,4820
3,88631,5,60538862097,1,FINANCIAL SERVICES,0
38,20349,1,7965604450,1,BEAUTY,6030
37,110037,1,3338320030,1,PRODUCE,3602
36,62775,7,1254600638,1,IMPULSE MERCHANDISE,135
36,147720,7,3500039367,1,HOUSEHOLD CHEMICALS/SUPP,2070
36,166927,4,3700089156,1,PERSONAL CARE,203
36,181093,6,30997869531,1,PERSONAL CARE,5365
37,82176,4,85290900303,1,PRODUCE,7131
37,146409,7,4688,1,PRODUCE,8103
38,136613,5,71785447001,1,FROZEN FOODS,1901
37,12775,6,2100002649,1,GROCERY DRY GOODS,2451
36,1094,5,60308435074,1,PERSONAL CARE,9104
36,43176,4,3700091116,1,PERSONAL CARE,5050
37,32538,3,4066,1,PRODUCE,8207
5,34903,3,30043900572,1,PHARMACY OTC,2113
5,72748,2,7965605164,1,BEAUTY,6080
38,65473,1,1450001275,2,FROZEN FOODS,1750
37,182081,6,4032,1,PRODUCE,6420
36,160459,2,3700044649,1,PERSONAL CARE,9104
5,90908,5,30766073966,1,PHARMACY OTC,2102
38,93998,6,6414404322,2,GROCERY DRY GOODS,3005
36,180936,6,81589001479,1,BEAUTY,5040
37,169891,4,73475600008,1,GROCERY DRY GOODS,2351
38,47871,5,8259263247,1,PRODUCE,7953
36,4432,5,4155445249,1,BEAUTY,2235
38,34237,3,4460030614,1,HOUSEHOLD CHEMICALS/SUPP,5510
37,135731,5,68113106974,1,BEAUTY,3300
38,109695,1,7146410005,1,PRODUCE,7704
5,176007,5,7874235187,1,DAIRY,1508
38,43041,4,7209232412,1,DSD GROCERY,4655
38,118694,2,4400003325,1,DSD GROCERY,2758
37,14851,7,7343500004,1,COMM BREAD,3791
3,28014,2,68113163351,1,FINANCIAL SERVICES,275
37,91592,5,7800002036,1,DSD GROCERY,2457
37,115302,2,3338311010,1,PRODUCE,108
38,126941,4,2550020188,1,GROCERY DRY GOODS,3304
38,118707,2,7066208721,1,GROCERY DRY GOODS,3114
37,91592,5,4178900412,3,GROCERY DRY GOODS,3105
37,154481,1,7874237105,1,GROCERY DRY GOODS,3556
38,89038,5,7225003948,1,COMM BREAD,3721
3,46562,5,68113176761,1,FINANCIAL SERVICES,283
36,148003,7,4155433285,1,BEAUTY,2105
37,35799,3,4611,1,PRODUCE,4060
38,154112,1,1600013550,1,GROCERY DRY GOODS,4156
38,178454,6,4011,1,PRODUCE,5501
38,184770,7,4300005724,1,GROCERY DRY GOODS,3309
37,139583,6,7874206339,2,HOUSEHOLD PAPER GOODS,202
37,123347,3,66572105689,1,BATH AND SHOWER,1505
36,46424,5,76163520390,1,PRODUCE,3509
37,142658,6,3800031710,1,GROCERY DRY GOODS,3504
38,43045,4,5000030622,1,GROCERY DRY GOODS,3306
37,174603,5,67212501462,2,OFFICE SUPPLIES,6733
37,134237,5,5100002141,2,GROCERY DRY GOODS,3100
38,30667,2,75752800879,1,IMPULSE MERCHANDISE,808
37,158483,2,22011000000,1,MEAT - FRESH & FROZEN,6032
36,35549,3,30041668821,2,PERSONAL CARE,402
37,85717,4,88339100317,1,PRODUCE,1292
3,8149,6,60538896309,1,FINANCIAL SERVICES,276
38,97114,6,4150074510,1,GROCERY DRY GOODS,2339
38,35594,3,60069900183,1,GROCERY DRY GOODS,4503
3,115205,2,83032400641,1,IMPULSE MERCHANDISE,1001
37,13970,7,5638908880,1,SPORTING GOODS,5818
37,142990,6,7962507299,1,BEAUTY,5020
38,3901,5,7763304338,1,COMM BREAD,3701
5,108392,1,20966500000,1,SERVICE DELI,7010
38,14373,7,7874235255,1,GROCERY DRY GOODS,2456
37,145211,7,3600036094,1,HOUSEHOLD PAPER GOODS,3010
38,32143,3,3384400297,1,GROCERY DRY GOODS,4260
37,67225,1,60538818718,2,DAIRY,1503
37,75389,3,2840002816,1,IMPULSE MERCHANDISE,808
38,124444,3,1500007703,1,INFANT CONSUMABLE HARDLINES,3153
38,96882,6,4470007496,1,PRE PACKED DELI,7654
5,160411,2,9392251092,1,IMPULSE MERCHANDISE,125
37,23207,1,4023,1,PRODUCE,2007
3,73013,2,7164125174,1,OFFICE SUPPLIES,3627
37,131629,5,5200013167,2,DSD GROCERY,4605
37,185999,7,4089,1,PRODUCE,8000
37,60491,7,2840042071,1,IMPULSE MERCHANDISE,808
37,46536,5,7874237047,1,DAIRY,7974
36,108753,1,60538871457,1,DAIRY,9100
37,58407,7,7480618610,1,"LIQUOR,WINE,BEER",2900
5,1224,5,5113119835,1,PHARMACY OTC,3034
36,139037,6,1910000677,1,BEAUTY,4503
36,119191,3,7940040411,1,PERSONAL CARE,1
36,26115,2,60538862097,1,FINANCIAL SERVICES,0
37,32834,3,3338353070,1,PRODUCE,4113
36,10087,6,3270014836,1,PETS AND SUPPLIES,5830
38,131603,5,3345605008,1,DAIRY,1553
36,46122,5,63216911101,1,PERSONAL CARE,6103
5,175326,5,68113105856,1,PHARMACY OTC,1002
37,91333,5,7870080162,1,COMM BREAD,3702
38,114603,2,7680850738,1,GROCERY DRY GOODS,3901
38,87062,5,5100014297,1,GROCERY DRY GOODS,3131
37,187323,7,1600044459,1,GROCERY DRY GOODS,4052
37,10646,6,68896201808,1,PRODUCE,8613
37,41460,4,3710217020,1,PRODUCE,6982
38,118432,2,7874223052,1,GROCERY DRY GOODS,3853
37,144702,7,4062,1,PRODUCE,8104
38,116440,2,2840016204,2,IMPULSE MERCHANDISE,808
37,186899,7,87989000016,1,DSD GROCERY,3856
37,47910,5,22093300000,1,MEAT - FRESH & FROZEN,1301
38,63597,1,7790047141,1,FROZEN FOODS,1204
37,188590,7,70662433333,1,DAIRY,9140
